duration,protocol_type,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,count,srv_count,serror_rate,rerror_rate,same_srv_rate,diff_srv_rate,failure
51,1,4994,2702,1,0,1,9,1,0,2,80,265,0.032090995477958593,0.011962241031134203,0.8123507065168752,0.04660821913890082,0
110,1,19211,99,0,5,4,8,8,1,12,459,18,0.9161303162526857,0.7040953654102186,0.08923727146823897,0.8642885544082248,1
39,2,2128,215,0,1,1,3,1,1,4,261,17,0.04199318880479025,0.008705018501255412,0.9523080427852428,0.09448877541949563,0
51,2,14200,154,1,1,1,16,8,0,41,318,2,0.9469573175266717,0.5387161435707173,0.017484214274640354,0.5184424313998439,1
49,0,3138,645,1,2,1,0,0,1,2,473,478,0.06946106835231995,0.05218220315840088,0.8212758581892914,0.01035800276782687,0
125,0,67085,449,0,3,3,28,6,1,15,271,47,0.6743983412820947,0.6363253802432126,0.38110507677795336,0.9176436265568546,1
20,1,2693,3797,1,1,0,8,0,1,3,140,364,0.019730316366181666,0.0260940325593234,0.8782360629734821,0.07238104618236194,0
8,1,3481,3374,0,1,1,4,0,1,1,322,357,0.07230237104792231,0.05058523340011078,0.8563888618641584,0.045839994509128415,0
35,1,3427,1407,0,1,1,9,1,1,2,489,342,0.028534295832295876,0.05289777852781389,0.8034431674648514,0.02179955286709001,0
303,0,84084,44,1,6,2,24,4,0,41,413,10,0.5471806536723955,0.8811662519754451,0.018632322376375222,0.8692715673008078,1
241,2,15822,152,1,2,1,15,6,0,9,418,22,0.649046053930633,0.7630225793870699,0.13689487844838008,0.5686250934283668,1
19,2,2448,3050,1,1,0,7,0,0,3,470,399,0.04606180240028186,0.017249641122067606,0.9183460612149142,0.08039849479858042,0
49,1,1019,2914,0,1,1,9,0,0,1,382,282,0.0033336774896313374,0.03563130694073432,0.8915930403941299,0.03005956833084742,0
375,1,93790,288,0,9,4,16,2,0,37,302,42,0.9907654028903585,0.9745322074890304,0.25292732068387386,0.8074290148691714,1
543,2,13524,238,0,0,1,6,2,1,15,465,35,0.7087118979405433,0.8766659661718577,0.0723367287789404,0.7444543607512697,1
28,0,29102,18,1,7,3,29,3,1,6,268,32,0.6328957126273222,0.4828645023047886,0.24865911563862944,0.9971462970054292,1
14,1,3471,2267,0,2,1,2,0,0,0,97,509,0.003911347864820181,0.05515594393998855,0.8797278368541255,0.021418224705505487,0
2,2,63955,268,1,7,2,14,9,1,37,493,39,0.6636431320005416,0.3732653530244084,0.029764637519224913,0.7998916589998588,1
477,1,67136,345,1,9,0,12,7,0,19,440,17,0.9342451151412097,0.42247299383225645,0.034850382685484814,0.7932659485144968,1
26,2,1759,3998,0,0,0,2,0,1,4,192,122,0.052806876193007495,0.03300736373425556,0.9364341150769903,0.05354138668561839,0
19,2,1450,530,1,0,1,3,0,0,1,333,286,0.09166249324370497,0.039616541714366175,0.8522462361851939,0.058809890824204895,0
0,2,626,3770,1,2,0,0,0,0,3,246,468,0.0017311479100916905,0.03189946640874284,0.925108047308108,0.021860269859710835,0
494,2,53747,409,1,2,0,7,6,0,27,223,8,0.5354690031773637,0.5050607113839849,0.27837868172208224,0.794146274034208,1
29,2,57164,128,0,2,0,11,9,0,44,329,7,0.6685614306257135,0.38841853795451814,0.36128948340611444,0.9561444082037971,1
411,0,47360,81,0,7,0,10,3,1,23,315,41,0.5460397468119293,0.5767871699464315,0.34333709438408333,0.6768521669420573,1
53,1,3008,2999,0,0,1,3,1,1,3,456,210,0.031754428739632544,0.02120922398163724,0.8387770802599346,0.05560607533061848,0
9,1,469,631,0,1,1,3,0,0,2,199,474,0.059696180075307276,0.04522052424467095,0.8053277317334036,0.03747182073051543,0
310,0,66685,116,0,7,2,25,8,0,41,393,30,0.9456277569713769,0.7694230965942719,0.2477032186908101,0.6286320816918747,1
325,2,40810,157,1,4,0,15,6,0,19,435,37,0.6889646342773683,0.8555921320219446,0.3108388979579349,0.5078792593779508,1
53,1,3307,2233,0,2,0,7,1,0,3,26,332,0.04711883294467742,0.08083829660583364,0.8169283412805679,0.025138131683529397,0
51,2,4298,3068,1,1,1,4,0,0,4,94,259,0.0345338889761404,0.06558673357415497,0.9873692462331869,0.03713087987193416,0
19,1,624,1641,1,1,1,8,0,0,4,491,401,0.040434299631686876,0.0165363412862919,0.8832996727379397,0.09945572104654138,0
12,0,770,2105,0,1,0,6,1,1,0,205,355,0.006525785827034725,0.017257369903382638,0.8697960330036143,0.07762278055225727,0
9,1,1112,3805,0,2,1,3,1,0,2,478,329,0.002376292376879363,0.010560591117053299,0.952228867627839,0.04547453181314153,0
20,0,2308,2704,0,0,0,6,0,1,4,212,255,0.005660560806625048,0.04668626672457824,0.9110455582105553,0.08036263173494688,0
45,2,4414,2194,1,1,0,7,0,0,2,230,54,0.003680784816741056,0.05400487856301889,0.8063491713117485,0.08325984171717532,0
48,1,660,651,1,1,0,2,1,1,0,150,64,0.057949391230630524,0.08313968113450776,0.9868685752969432,0.019972358187123274,0
8,0,1552,1635,0,1,0,9,1,1,0,507,318,0.0005811425630029565,0.05904033637339601,0.996939876590327,0.007605106423231234,0
453,2,76500,255,1,6,3,8,9,1,32,254,30,0.8054808929045852,0.9762811155454527,0.34733319802308693,0.5025886421952045,1
168,2,62193,362,0,2,4,22,9,0,45,387,18,0.6793056028328012,0.7717290024314996,0.07370963799803265,0.7578537395766867,1
356,2,97983,364,1,2,2,18,6,1,27,482,4,0.7195229462987884,0.40731618782230117,0.1001945571688975,0.7504126254706163,1
55,1,3510,480,0,1,0,1,1,1,4,410,173,0.060978510014316846,0.07507241854081832,0.9913517810183079,0.08696743240191283,0
33,0,3799,587,1,2,1,5,1,1,1,269,408,0.026577867212004204,0.06667606187461937,0.9101773691680763,0.07393358134106348,0
153,1,23063,482,1,8,4,9,4,0,49,467,33,0.5902053723108966,0.42109631970248834,0.2628928285460996,0.942959109254897,1
23,1,1638,3318,0,1,1,0,0,0,2,12,134,0.07059669088836537,0.05200303597213747,0.8195582347739793,0.07121272911638017,0
66,2,8229,283,1,0,2,14,9,0,19,299,40,0.8905977874240796,0.9467528494560675,0.02594686022883912,0.7925387725326638,1
75,1,91453,117,1,4,4,25,2,0,37,380,34,0.8120292549465362,0.4376525925075877,0.037898107643395074,0.5744375034005513,1
9,0,3110,2125,1,0,1,2,1,1,0,347,185,0.012680226091725456,0.08182123843872696,0.8926684673689654,0.07759657080896254,0
37,0,3670,520,0,1,0,6,0,1,3,123,103,0.0065532604160550515,0.07071661944152902,0.9614985267251083,0.06777293149887108,0
34,1,3022,3681,0,2,1,2,0,0,2,350,173,0.061108512034001194,0.056216254501790755,0.9079417488768977,0.02702109322568909,0
50,1,475,1897,1,2,0,6,1,0,4,482,99,0.058713783205533714,0.0849372230321457,0.9524832538345887,0.0007960681262152436,0
44,1,515,2743,1,0,1,3,1,1,0,276,378,0.008321975708784003,0.03407180421921664,0.8862151976760212,0.09755635330232958,0
32,1,3800,3574,0,2,1,1,1,1,3,114,164,0.034323644395380236,0.03968637748286116,0.8172622548017546,0.04016720059177245,0
31,2,119,3210,0,0,0,8,1,0,0,41,102,0.05699278147708642,0.015498583791941956,0.8768815112094415,0.09853449734618729,0
26,0,4237,2922,0,1,0,0,0,1,0,5,272,0.07798880602861596,0.00584473373940283,0.9704656969409422,0.09232329805122293,0
56,0,697,773,0,0,0,5,0,1,1,27,463,0.08607986389333182,0.005237308423837784,0.80683236564895,0.023982290573469567,0
246,2,24984,481,0,3,4,18,8,1,12,331,32,0.6917713613479513,0.3001617071700928,0.11524462275309096,0.9486213902874485,1
240,0,44800,128,0,5,0,23,2,1,46,226,21,0.5636894404275082,0.4935260354899248,0.022703058846488624,0.8410288575775381,1
11,2,4406,3428,0,1,1,7,1,1,0,494,458,0.024311616443435227,0.022122842920593022,0.9172215024777765,0.04144715737346031,0
545,2,72683,416,0,4,1,17,4,1,10,216,44,0.7526317224903638,0.6223442755123257,0.1163579316503133,0.8077294519343428,1
10,1,4771,734,1,0,0,9,0,1,4,9,125,0.05268547930113837,0.07659913236269023,0.8178793404644448,0.08538791287628071,0
22,1,2457,615,0,2,0,4,0,1,1,351,43,0.06629508610866272,0.09848436931486686,0.8665063310812924,0.09469081572723698,0
47,1,4946,1569,1,1,1,8,0,1,0,394,495,0.07695286368198832,0.07573778624120506,0.8245804733146362,0.017171081874711724,0
56,1,4829,2428,1,1,0,9,0,0,0,251,155,0.04603871690449497,0.07900212465099354,0.9379757672301756,0.05121350497750379,0
31,2,1357,722,1,0,0,2,0,0,0,158,96,0.05180053991634201,0.08076567725743866,0.8976624314582222,0.05723025607914948,0
233,2,89092,391,1,0,2,23,2,1,6,448,27,0.8824900750053474,0.7616004164938813,0.1380931480567414,0.636287769211608,1
144,2,85311,1,0,2,4,23,6,1,16,461,14,0.7709523891123468,0.7299689748203229,0.006906688214333424,0.9783096893947281,1
205,2,60329,250,1,2,3,23,4,0,45,285,13,0.6607091133032414,0.9091123194668642,0.07136239995030054,0.6722167679968545,1
10,2,2781,2761,0,0,1,3,0,1,1,327,326,0.05188756214002959,0.057164412120415155,0.8843312456030286,0.024203664074126042,0
33,1,2581,3923,1,1,0,0,1,0,0,223,31,0.09621175686531643,0.04984799205055612,0.8170956917364265,0.0897557038729032,0
30,2,2060,1746,1,2,0,3,1,0,4,472,245,0.06062023767018668,0.010764774056803907,0.8129933239565472,0.05452459338993298,0
22,2,2021,2239,0,1,0,6,1,1,4,111,141,0.009129173542210201,0.07396613587149838,0.8266105309552456,0.06443469609477989,0
576,1,69799,67,0,3,3,28,9,0,34,414,22,0.5917354975447666,0.9545414260041811,0.3555272078053202,0.7567661860281315,1
42,2,2149,3515,0,0,1,4,0,1,3,145,245,0.07478732645134702,0.022658446056378935,0.877835601165381,0.06860415220263874,0
301,1,96169,368,0,3,3,27,8,0,48,278,3,0.8506680429695312,0.3404370214978238,0.30178804071824944,0.9111407202991546,1
22,1,1711,686,1,0,0,5,0,0,2,4,243,0.0730883239478283,0.05017616266156655,0.8507256375412261,0.06427411370796464,0
40,2,2223,1329,1,1,1,9,1,0,2,239,294,0.0931553374841485,0.07270113695398465,0.8641548806922583,0.02254687363816843,0
37,2,3294,1807,0,2,1,8,0,0,4,400,167,0.057616391202136436,0.010450150422594852,0.9614173650016089,0.030490975644086427,0
43,1,2746,2483,0,1,0,1,1,0,4,408,56,0.023906674252183825,0.04682856031784443,0.9952885177531744,0.06390443382812293,0
58,2,3136,2786,1,1,0,8,1,0,4,197,71,0.03636883036740381,0.06931514820762487,0.851289039462876,0.08745589597672514,0
89,1,93610,183,1,3,2,9,5,1,38,324,3,0.863450676737564,0.35771426493628544,0.1668315259242379,0.8518551926276228,1
57,0,4207,1187,1,0,1,3,1,0,2,229,161,0.041611559744136675,0.047359375722434406,0.9573905582546378,0.06652635617088336,0
47,0,1882,2283,1,0,1,4,1,1,2,188,250,0.017806449941359406,0.060786930650192555,0.8984630596259068,0.026745061084868495,0
41,1,4178,1391,1,1,1,9,0,0,0,188,330,0.09519544556447065,0.07811823684775579,0.9370510128313687,0.09459959795442031,0
59,1,2769,2413,0,0,0,9,1,1,0,379,91,0.06414377279545803,0.09779441213316742,0.851664780515393,0.09643899443030858,0
67,2,19885,101,1,4,1,24,3,0,29,357,13,0.7467685951260579,0.4109678803382251,0.2562266735806192,0.8300227748440703,1
46,1,3887,211,0,1,0,6,0,0,1,31,243,0.08680554992067058,0.07343018285197699,0.9619488450884589,0.008116525298240062,0
20,0,3779,962,1,1,0,1,1,0,2,308,9,0.075435033210409,0.0007596849792897986,0.8809517559030585,0.07735090367372323,0
30,0,682,3932,1,0,0,6,1,0,4,85,427,0.06634172383170589,0.02947301802294097,0.8584618996213005,0.02290028053785749,0
82,0,7491,411,1,6,4,24,9,0,13,382,13,0.5202588353861153,0.6932637992580075,0.21728280012629064,0.6327453909653854,1
38,0,1302,223,0,0,1,9,1,0,1,22,206,0.07548371568554117,0.05776848350294439,0.9763782940993041,0.05801241326393898,0
39,2,356,3653,1,2,1,2,1,1,4,129,167,0.06237137363728421,0.029084379335639645,0.8018804822406086,0.059442516465846064,0
62,1,38842,237,1,3,4,21,2,0,16,253,9,0.6453079043064287,0.5745842136033134,0.07907291339404794,0.6455425504397029,1
36,0,4010,997,0,2,1,0,0,1,0,61,423,0.03625910007984671,0.07408104480012823,0.989642344783199,0.009550984267396513,0
9,0,955,598,0,1,0,9,1,1,1,223,84,0.03067672957354898,0.06666702018088329,0.9356159722290514,0.08045888490247038,0
8,0,111,1307,1,1,1,8,1,1,1,119,482,0.0858873866581743,0.04758929138887652,0.8561142606867154,0.04088586485702246,0
45,2,1958,1755,1,2,0,5,0,1,4,216,342,0.010681438624102724,0.05975610623705033,0.8499401447857479,0.09228111729848605,0
52,1,440,1073,0,2,1,0,1,0,2,268,175,0.07645872803327482,0.07857250077929304,0.904722300237064,0.09568824234476876,0
46,2,3814,628,1,0,0,2,1,0,2,28,354,0.07325958008693723,0.02863150287376135,0.8156170399962537,0.0031377488215590943,0
355,2,29812,187,0,5,2,22,7,1,49,328,16,0.5207683493223225,0.6851480858817798,0.11847918567264736,0.5558454047999715,1
57,1,2024,2349,0,0,0,0,0,0,1,470,247,0.04239423957328989,0.023237895801613874,0.990187416867069,0.042143826955609934,0
45,1,2736,2887,0,0,1,4,0,1,1,388,60,0.036488275569030726,0.053063541967414286,0.8033094827036721,0.01583912326320629,0
323,1,56430,405,0,7,2,24,4,1,10,378,27,0.886399445906401,0.6537407495996105,0.2823474161301501,0.9434895188966451,1
56,1,3580,2731,0,0,1,8,1,1,2,496,359,0.08922833652878921,0.046506543671621395,0.9469713202372575,0.029061992749259715,0
491,1,7876,418,0,6,1,28,9,1,5,279,29,0.7792235433748658,0.3001250429599765,0.06357608296036808,0.809622358722605,1
42,2,862,3362,0,2,0,5,1,0,0,122,351,0.05611676732101654,0.025261669714185045,0.9822982028106153,0.02000063662715436,0
42,1,1546,495,0,1,0,9,0,0,1,58,504,0.07131965843748894,0.07410253591056358,0.91648691228082,0.025896930050014224,0
209,1,36011,495,1,8,3,15,3,0,38,334,35,0.7937717107552764,0.8898831373377116,0.19349982870254645,0.5239531573441658,1
22,0,2366,1893,1,1,1,0,1,0,3,195,315,0.050621070167339535,0.00230931425078319,0.8204937811438305,0.08680536287247327,0
20,2,1983,171,0,1,0,5,0,0,3,72,498,0.06119223027755852,0.02030858790433833,0.8326133252115887,0.012878197054753971,0
57,1,3280,449,0,1,1,7,0,0,2,158,244,0.05335291444353845,0.004869781914250893,0.9442010844380065,0.004350938875161014,0
63,1,10727,444,1,2,2,14,8,0,16,239,9,0.9559793542479753,0.5676775532199153,0.21746663749124098,0.6723242229047323,1
1,1,65734,42,0,8,4,7,4,1,46,244,3,0.6130575632742361,0.7151455364047516,0.03449589386306005,0.8224614893395259,1
195,2,20420,389,1,2,2,13,2,0,13,477,43,0.615723203115509,0.5061572360617713,0.04880219093473497,0.7462829372550386,1
246,1,42147,102,1,9,1,17,4,0,7,290,20,0.6337923797476144,0.34476616902282786,0.15878568978667282,0.8034469777585793,1
56,2,2295,1344,1,0,0,4,1,1,1,502,345,0.08034664544322627,0.03514158658957004,0.972865117335681,0.02041495352725503,0
30,0,2651,980,1,0,1,8,1,1,0,220,230,0.05922217128336739,0.09792891305371082,0.9102581105873633,0.06534133522769922,0
448,1,45019,402,0,1,0,14,2,0,39,364,24,0.6907097596248439,0.7854107328892177,0.013211143563311234,0.5515797855842528,1
150,0,88720,4,1,1,4,17,7,1,39,208,6,0.9616892657094731,0.40372022326333623,0.31212834187756294,0.9890571279822788,1
323,2,90216,444,0,2,2,26,7,0,39,210,14,0.8687019456548459,0.7250196957459284,0.16447882437401828,0.7098697559310404,1
166,0,77719,316,1,3,1,16,4,0,44,353,31,0.9429303189767292,0.5059930064004334,0.05350584116247825,0.6480017782473095,1
335,0,65763,261,0,6,4,16,8,0,48,487,27,0.8527700095429895,0.3983207494959687,0.22284883706190298,0.8301843419397335,1
52,0,4599,1333,0,2,1,1,1,0,2,422,393,0.0009938322534245759,0.015731074437314464,0.9492956063292171,0.06388472314501009,0
1,1,1013,3683,1,2,0,8,0,1,2,60,430,0.09135639157934014,0.09350268030228931,0.9857820188260115,0.021956294155368816,0
515,1,83764,311,0,1,3,24,2,0,7,484,23,0.8298492490951017,0.4183839841936658,0.17189568011568004,0.6722257306893082,1
3,2,4287,1980,1,0,1,2,0,0,2,309,393,0.09702309937985983,0.05098916506198075,0.9778826239175163,0.03593742853287859,0
19,1,4341,1397,1,0,0,5,0,0,0,145,169,0.031848876965323104,0.09409105287560508,0.9598210429077536,0.07706783707657672,0
28,1,2040,2881,1,1,1,8,0,0,0,215,326,0.029435704383064643,0.09094015404729766,0.8590303937038621,0.010295294013022083,0
148,0,29082,421,0,9,3,22,7,1,37,358,18,0.7508326595116492,0.7039648406086723,0.21812264629428554,0.7700498025889084,1
373,0,10712,135,1,4,4,25,7,1,25,476,14,0.6818105520700334,0.9259076651240965,0.12724579538750863,0.5264887265216088,1
280,1,27000,91,1,2,2,22,8,1,49,401,27,0.6638210758058709,0.43308384654710635,0.37833422596337757,0.8153699546427524,1
44,1,999,1389,1,1,1,1,1,0,3,7,371,0.08959188209856671,0.04087229801220184,0.9437808942406198,0.062377684923151204,0
12,1,3406,3560,1,2,1,0,1,1,0,262,56,0.060663437994428165,0.04801640025499784,0.9959253561568298,0.021540175606290936,0
15,0,924,2959,0,1,0,6,1,0,0,245,125,0.02624306066709562,0.007882083253450068,0.9006721403392315,0.011210428344897239,0
23,2,1478,1151,1,1,1,5,1,1,1,204,194,0.060468813531336,0.06122975776449784,0.9093364256956509,0.09222616339871262,0
132,1,24247,282,1,9,1,17,7,0,24,329,33,0.988643621822179,0.9352679870479563,0.3195636467932473,0.923940833498081,1
59,1,4007,1922,1,2,1,8,1,1,1,27,435,0.0282810357150172,0.08588812855127081,0.8404588387581079,0.0165550120909868,0
52,2,1017,2931,1,0,0,2,0,0,0,23,423,0.017530970920991186,0.09080856006901594,0.8627572607592408,0.01334490835133928,0
34,1,1445,2775,1,1,0,2,0,1,0,135,33,0.04304268834028466,0.0930764268625362,0.821006357602447,0.06274154415704354,0
39,0,1863,2354,1,1,1,7,0,1,4,478,38,0.0628573825347413,0.06036733391519808,0.8815504251829543,0.060650318917313,0
33,0,3627,3054,0,0,0,7,0,1,1,347,352,0.08111454488057616,0.08758814355212206,0.9014975791671603,0.09294831423858271,0
16,2,4249,949,1,0,0,8,1,1,2,493,57,0.008608943421384152,0.02511222636061703,0.9894838201595562,0.08882486781443409,0
100,1,96827,20,1,1,0,12,2,1,9,377,8,0.9636786959626817,0.8617787357777245,0.10514497589164495,0.9682786661944776,1
30,0,2548,1071,0,1,0,7,1,0,1,178,160,0.013795647796454747,0.03698493055550032,0.8097975247926629,0.054111456272073456,0
44,2,2663,3879,1,1,1,1,1,1,2,449,38,0.057457094420497484,0.08741376311291536,0.9620168679006847,0.05448680888228803,0
37,2,4091,3292,1,1,1,7,0,1,2,135,327,0.00414247083370547,0.08951569165830808,0.8733501340736887,0.04972287631691522,0
20,0,3460,385,1,0,1,7,1,0,3,400,441,0.07778304800332758,0.08532482556175167,0.9857350223832759,0.006053622878577614,0
433,2,45742,69,0,3,3,18,8,1,23,262,4,0.6481339502798116,0.6933764128641826,0.011291995440299508,0.8875511426211466,1
28,2,2422,2909,1,0,0,5,1,1,1,8,122,0.06922715128927613,0.06974562530398094,0.980200661759791,0.023903665441733914,0
7,0,4587,234,0,2,1,8,1,1,0,3,39,0.04556132747309932,0.09888112793002093,0.9725832028606809,0.07005740162643569,0
11,2,3576,2424,1,2,0,6,1,1,2,211,149,0.05974510684648279,0.09405590556107964,0.8801235229484748,0.04188619613690936,0
25,2,1171,1720,0,2,1,2,1,0,1,184,490,0.041103224516804905,0.006924366837725482,0.866185394432712,0.07680713455398003,0
498,2,86565,306,1,6,2,28,2,0,27,321,35,0.6445108477489996,0.3625192037277882,0.006233723676344516,0.8583527375221822,1
7,1,45673,176,0,9,2,12,5,1,44,434,34,0.8237161217779233,0.4871978635242408,0.040752519667816504,0.7026796110594966,1
178,0,74617,456,0,3,1,9,9,0,14,414,28,0.8368903960318653,0.6218975618575482,0.26753636859065766,0.7094239489665282,1
4,0,1415,828,0,1,1,2,1,0,2,35,353,0.0017236469759929652,0.08545129731065287,0.8746194583903182,0.0398625032464994,0
44,1,4760,317,0,2,0,5,0,1,1,466,336,0.0718716282472368,0.07963649508131404,0.9190433159758267,0.038287761563765454,0
512,0,6443,379,1,1,3,21,9,0,16,478,18,0.7239620654135699,0.7037664406857592,0.10668314917646571,0.6577209766188485,1
55,0,3993,3528,0,0,0,7,1,0,4,373,344,0.03319614062056262,0.03301227485696447,0.8774113022939524,0.0827295746392313,0
15,2,990,3562,0,1,0,4,1,0,3,227,376,0.0495731089271548,0.0784747556440546,0.9119659205845753,0.030212169735956196,0
49,0,764,800,0,2,0,3,0,0,3,468,434,0.007837647142421045,0.05398982528768817,0.8976106721905973,0.05042503745494305,0
10,2,2315,2646,1,0,0,3,1,0,2,311,432,0.04455131647194425,0.04047330813753172,0.8739164401872384,0.05931891411101856,0
169,2,48439,205,1,3,2,29,6,0,39,282,34,0.8989514259782909,0.5193882794689451,0.21948241565753335,0.5769826754868848,1
327,2,31082,183,1,8,4,26,2,1,39,458,36,0.7242235955970842,0.46989332610428686,0.10800912951331992,0.8725724978494112,1
551,0,84663,314,1,1,2,6,8,1,20,290,25,0.874081611239897,0.3810892101396356,0.17252142153092592,0.6954091850831834,1
35,0,4469,2867,1,0,1,3,0,1,1,213,198,0.027682071319710178,0.08240018514363057,0.9714973306786987,0.012524801055455326,0
39,1,3074,1370,1,2,1,0,1,1,4,72,10,0.0014150737574835871,0.0650555852486829,0.8967027145350219,0.03924420690003169,0
8,0,4039,1822,1,1,1,8,0,1,4,447,138,0.011611237277408572,0.02811806304757877,0.9901680656903771,0.0711500814890617,0
461,2,88846,94,1,0,2,9,2,1,46,386,8,0.7828638270907253,0.6016935897079372,0.2640577923669342,0.8000632170406943,1
519,0,93963,184,0,4,3,13,4,0,41,481,43,0.6488472293879883,0.7354095844335946,0.39251289389081845,0.7358377476287958,1
83,2,16711,361,0,0,2,24,9,0,48,320,5,0.6394886516285277,0.8695696938823452,0.19702429438391733,0.6777963024226351,1
43,2,4642,1461,0,0,0,3,0,1,1,391,157,0.04762313414288018,0.05255376417725132,0.9171076024082637,0.08592976442140564,0
50,0,3259,161,0,1,0,9,0,0,0,185,370,0.06330666303549623,0.048727117073730564,0.82470899720527,0.07880257777719675,0
1,2,1278,2453,1,0,0,1,0,1,3,442,113,0.011211557783658222,0.07274674622108744,0.8260454139974748,0.038749705458809736,0
58,2,718,2642,1,0,0,0,1,1,0,207,49,0.0833992063145731,0.000689883779359124,0.9180886189249281,0.08611857431216952,0
585,0,96396,435,0,3,1,25,4,0,8,376,9,0.5048150168789941,0.7898889459783949,0.05827711606514061,0.7437377996110642,1
448,0,64554,254,0,0,1,5,6,1,6,455,43,0.6542224247863199,0.9329379849171575,0.24066509003298997,0.7552578243417745,1
400,1,29970,346,1,6,0,20,6,0,23,464,12,0.6617069697024988,0.6153715908019184,0.2910236796336027,0.9810699540449339,1
21,0,2632,1441,0,1,0,3,1,0,1,131,142,0.0879743905939987,0.08110482650469383,0.8359445043238285,0.07507188349101886,0
59,0,1429,1954,1,2,1,3,0,1,4,474,15,0.04685921367045919,0.07794066825273879,0.8254683645292108,0.0798381684704768,0
102,0,17275,361,1,6,2,8,9,0,31,218,42,0.8918432542805758,0.651235992901168,0.15258306047039844,0.6742054462077569,1
533,1,85918,389,1,5,4,21,8,0,13,431,37,0.935681487545134,0.9712915640420903,0.24552409673574568,0.9219904165811212,1
39,0,2325,2963,1,0,0,7,0,0,2,229,300,0.030756405627775874,0.022239467597593376,0.9621752507087179,0.016070400824885568,0
13,1,1260,939,1,1,1,5,0,1,2,352,305,0.09719301314269502,0.0276543350911862,0.8313492628424624,0.09822364219526405,0
369,2,6561,90,0,8,0,22,8,1,15,326,27,0.7390165641426625,0.730458753253759,0.36272428373911647,0.5745689091950945,1
191,1,49076,408,1,3,3,29,9,1,28,431,48,0.9668131093446801,0.5853604188710217,0.32501392257468176,0.5127078776371687,1
11,1,850,3075,0,1,1,1,1,0,2,42,486,0.059180575370441336,0.06799893849658314,0.8364248090344437,0.06708549752865717,0
33,0,3358,1901,0,1,1,5,0,0,2,130,435,0.09665637125333727,0.051314166838398005,0.8420827217642693,0.028733126961331637,0
